srcip,srcport,dstip,dstport,proto,td,byt,pkt,label
3232261223,50261,1218436450,49560,tcp,2.9988278222423626,0.00015201832049252875,3.0000105378681745,1
3232261223,39813,3250416306,49560,tcp,2.9988285176975005,0.0002969483874066419,3.0000114756430207,1
3232261223,51524,1098901923,1,tcp,2.9988285098255254,179.56427821703141,3.000011527400952,1
3232261223,60905,2813926936,23,tcp,2.998827913126221,0.00012924616341194968,3.0000106601842926,1
3232261223,36994,3589249548,23,tcp,2.9988279649745713,0.00015558283176552332,3.0000107322087888,1
3232261223,52259,3250416306,23,icmp,0.11325020117356151,0.0018188255143881792,3.0000110224533665,1
3232261223,39813,2813926936,23,tcp,2.998827785711983,0.0001278357596395378,3.000010487379094,1
3232261223,52259,1098901923,23,tcp,2.9988281721383974,0.00025177087436108967,3.0000110148915873,0
3232261223,51524,3250416306,23,tcp,2.9988283526615422,0.00020228204141747587,3.0000112677021527,1
3232261223,39813,3250416306,23,tcp,2.9988282649581324,0.00021342074823234194,42.29160458213351,1
3232261223,39813,2813926936,23,tcp,2.9988280617951486,0.00013417470129049853,3.0000108522409916,1
3232261223,54094,1098901923,1,icmp,0.11324933133157271,0.0007527231230431218,1.000547007618118,1
3232261223,52259,2847898517,23,tcp,2.998828106585151,0.0002952190071434307,3.000010938537459,0
3232261223,52259,2813926936,23,tcp,2.9988279357870447,0.000132128969298967,3.0000106984531145,1
3232261223,51524,1098901923,23,tcp,2.99882896908261,0.0006011691764880524,3.0000120414683913,1
3232261223,52259,2813926936,23,tcp,2.998827866388672,0.00012681038300140074,3.000010596536157,1
3232261223,39586,1098901923,23,tcp,2.9988286842134633,0.002785702671419018,3.0000116894435824,1
3232261223,43031,2209273747,23,tcp,2.998827930882969,0.00017860701418203029,3.0000106854510094,1
3232261223,35409,2813926936,23,tcp,2.998827874975629,0.00015825087522918928,3.000010610750028,1
3232261223,50261,1218436450,23,tcp,2.998827926144761,0.00015598181226163162,3.000010675522269,1
3232261223,51524,1098901923,1,tcp,2.9988279714536916,0.00022814561843199834,3.0000107493968726,0
3232261223,39813,3589249548,23,tcp,2.9988291218677774,0.00032039465652871724,3.0000122129122335,1
3232261223,52259,1098901923,23,tcp,2.9988287758598555,0.0037395059633132774,3.000011833254393,1
3232261223,52259,1218436450,49560,tcp,2.9988277795182774,0.00012336948766661552,3.0000104773221006,1
3232261223,39813,3396621352,23,tcp,2.9988278093368974,0.00012626558605629667,3.0000105189632085,1
3232261223,60905,3250416306,1,tcp,2.9988279821615613,0.0015965587585799676,2.784667597965364,1
3232261223,39813,1098901923,23,tcp,2.9988279920067855,0.0001358785966662212,3.000010762487386,1
3232261223,52259,1098901923,23,tcp,2.99882812030045,0.00034817164015742683,3.000010946885857,1
3232261223,39586,1098901923,49560,tcp,2.9988279441139727,0.00013422690273267533,3.0000107000160847,1
3232261223,39813,2813926936,23,tcp,2.9988277779236263,0.00012345653817359803,3.000010475634209,1
3232261223,39813,1098901923,23,tcp,2.9988286821322965,0.00016250752039110168,3.0000116628826747,1
3232261223,39586,1098901923,23,tcp,2.9988278240659167,0.00014011562478909628,3.000010543823204,1
3232261223,36994,3589249548,49560,tcp,2.9988278074680688,0.00012649230536206855,3.0000105176157397,1
3232261223,51524,2209273747,23,tcp,2.998828418604707,0.001159068657019655,3.0000113668679846,1
3232261223,51349,3396621352,23,tcp,2.9988278027092887,0.0001246680458487351,3.000010508195647,1
3232261223,43031,1098901923,49560,tcp,2.9988283312987845,0.00026356898458799614,3.000011229714842,1
3232261223,60905,1218436450,49560,tcp,2.9988278023454935,0.00012476862508700455,3.0000105084789976,1
3232261223,39813,2813926936,23,tcp,2.9988281909145647,0.001434533237250754,3.0000110360700494,1
3232261223,52259,3250416306,23,tcp,2.998828582705041,0.0001604359059591243,3.0000115502487943,1
3232261223,50261,2813926936,23,tcp,2.99882779505158,0.00012345195355388603,3.000010500363742,1
3232261223,39813,2813926936,23,tcp,2.998827809053117,0.00013373615639047636,3.0000105188411212,1
