SrcIp,DstIp,SrcPort,DstPort,proto,duration,pkts,bytes,label,ts
3232261223,647409151,33416,60673,tcp,2.7938254312409097,3.2528587790837635,0.2990911489085759,Non-Benign,1525879860.9523132
3232261223,110373903,42832,37186,tcp,3.083080461100594,3.5213588742513444,0.3509846879366822,Non-Benign,1525879868.0552733
3232261223,663137671,19875,37186,tcp,3.110193438096972,3.312162304493996,0.3617694849704651,Non-Benign,1525879875.2402625
3232261223,647408783,50613,37186,tcp,3.0860938884355416,3.4242826411834493,0.3525923888931875,Non-Benign,1525879880.04133
3232261223,647268415,24461,37186,tcp,2.9257316448769912,3.5033093566884954,0.335621961215866,Non-Benign,1525879883.1058917
3232261223,101985294,46693,37186,tcp,2.9861907707841704,3.655610338408544,0.3519994267384953,Non-Benign,1525879892.0970595
3232261223,647244815,23028,37186,tcp,3.0870688591170885,3.5025248358807466,0.3200741971462109,Non-Benign,1525879897.937553
3232261223,647276591,24461,37186,tcp,2.870141401592474,3.434464847448686,0.3400317098282857,Non-Benign,1525879898.300634
3232261223,643248622,56860,8080,tcp,2.892443080363641,3.0375666900476874,0.2831857310542859,Non-Benign,1525879905.012369
3232261223,664053807,43541,37186,tcp,3.104954360166206,3.192112073929956,0.4085206440512208,Non-Benign,1525879905.587035
3232261223,638855183,12277,60673,tcp,2.9142307617422865,3.4076299932932934,0.3462853170063939,Non-Benign,1525879914.7497106
3232261223,642920878,33616,2323,tcp,2.9714289217822256,3.158200736068669,0.3088470613497814,Non-Benign,1525879915.924644
3232261223,605436399,44206,8080,tcp,2.660812556196903,3.179095812915012,0.3216887678690833,Non-Benign,1525879918.3776937
3232261223,647268415,4887,37186,tcp,3.22348061701783,3.1841319290255905,0.3235078864878871,Non-Benign,1525879919.3199005
3232261223,911612334,40182,2323,tcp,2.718608686121501,3.2191639920550594,0.3217277181939875,Non-Benign,1525879920.2690735
3232261223,647268671,38520,60673,tcp,2.9374117099452324,3.3145877027346398,0.3089501662891466,Non-Benign,1525879922.310711
3232261223,643250670,17244,8080,tcp,2.847413846316888,3.181243214886156,0.3202780213157183,Non-Benign,1525879932.0512006
3232261223,638855214,46693,60673,tcp,2.694397624725844,3.2394770703816693,0.3261002585878185,Non-Benign,1525879932.6217222
